"","arab","peoples","middle","independence","policy","delegation","powers","israel","charter","conference","operation","question","relations","solution","forces","determination","foreign","disarmament","east","countries","developing","africa","south","arms","military","situation","session","special","economic","negotiations","change","terrorism","global","challenges","poverty","cooperation","council","commitment","development","support","conflict","issues","human","process","ensure","stability","regional","security","financial","including"
"council",-0.602940088732487,-0.637405198955927,-0.541240284990031,-0.634615119419827,-0.577093396394979,-0.495820492298211,-0.669835778271436,-0.459870790835529,-0.406983238946754,-0.441728572898869,-0.571851113871041,-0.488616273633379,-0.513378745211064,-0.549172105551591,-0.41527202612447,-0.532375483034485,-0.472867582292351,-0.46487178247618,-0.398097839245982,-0.45858795299412,-0.437855504885399,-0.408718264436466,-0.418538388356419,-0.447983094840224,-0.367666331448762,-0.391481144980684,-0.266007512077762,-0.295254764216088,-0.244556787097275,-0.361375532895956,0.00485568027202295,0.256857357403703,0.425896312021129,0.540999398425085,0.642137457487219,0.686751139669746,1,0.671576002893109,0.676155718761845,0.309801144809239,0.620372905899548,0.658844704056399,0.663966941068465,0.697289382965784,0.724985993933231,0.760594026121457,0.716328922062443,0.851520467515288,0.434547491661454,0.507818548875955
"commitment",-0.70721178707092,-0.800764006253392,-0.682435473233363,-0.684838203939868,-0.717431488729454,-0.825649786568401,-0.873817254959365,-0.5910504210537,-0.701832082131064,-0.647063750811621,-0.633501640056285,-0.708741308601986,-0.697042946687357,-0.586234388328526,-0.58973069384673,-0.609797323952314,-0.639550183639327,-0.595202269566856,-0.604101990896439,-0.573008716232254,-0.572877972960412,-0.519691704695917,-0.477701219736088,-0.464054138775006,-0.511258681144148,-0.503170082273255,-0.528268161343066,-0.454401769868849,-0.388464871415113,-0.369101827482461,0.457457655522341,0.4099605073924,0.816706441089546,0.851027774635931,0.777679828716003,0.561953935868724,0.671576002893109,1,0.746627045395099,0.472259462507256,0.543811589313768,0.721648556805877,0.484387402411886,0.540547135996056,0.776815849377171,0.835132556229539,0.694916771864005,0.694334467313113,0.575546475140204,0.812889865634982
"development",-0.629037226192626,-0.685608362286299,-0.542703118030201,-0.627535245896126,-0.606320327324012,-0.634275154560258,-0.700010417513144,-0.522600670425804,-0.560840957056126,-0.440254054203716,-0.5946266933723,-0.599865194383704,-0.583043328062342,-0.495014001366503,-0.506892735141596,-0.581574437157981,-0.572166698004183,-0.553010196619458,-0.521916542576607,-0.514730516858506,-0.51462736061301,-0.471426064784968,-0.453089140489722,-0.511239017045236,-0.432802477004567,-0.470056086372426,-0.398634258375309,-0.404020758993744,-0.321671628697039,-0.382646923237405,0.339920693361777,0.160827739991924,0.619224902128942,0.672588016215506,0.670283531786973,0.593901968168685,0.676155718761845,0.746627045395099,1,0.336242771900852,0.536669932020244,0.613073643831155,0.580686193931142,0.489460184716455,0.776638259603872,0.678744939969434,0.66014509118796,0.597771893721445,0.339141498312371,0.646853879332435
"support",-0.0322490069728504,-0.0667728477587211,0.0358797388416657,0.125079410424801,0.103080309990515,-0.186828243115541,-0.181998557238246,-0.0251168709269724,-0.142255397208259,0.104328887151324,0.130543304045056,0.120250996746031,0.118510792252747,0.296695704400907,0.249178232809833,0.209754481063734,0.227967404787025,0.20022284075877,0.134169147789043,0.294313602200909,0.236919273043306,0.332499824179578,0.384058848310425,0.359571809317043,0.301873605188607,0.353851692225241,0.1407993384769,0.0555229178093654,0.415934671392997,0.402840397060171,0.117422847699883,-0.0457084814283611,0.296223498107493,0.173036930841612,0.0815423584575318,0.0736068566444319,0.309801144809239,0.472259462507256,0.336242771900852,1,0.637177674967652,0.672383411566445,0.390584446600209,0.495721740814454,0.592577487202745,0.626883925616718,0.528313547653605,0.556664703992204,0.49101880449038,0.721127457747018
"conflict",-0.279125131993947,-0.309339378143634,-0.208814757267667,-0.207327369665749,-0.189940222651287,-0.310781453506596,-0.397367005551452,-0.263909847667494,-0.0888343942499524,-0.076320169907338,-0.205546969033181,-0.0603253382452247,-0.0621406454193135,0.0265863564006375,0.0884533057822225,0.0111034095483436,0.0194883204367719,-0.0841132876223459,0.0483432879279694,-0.0197593527526586,-0.128810579240971,0.0188280215492537,0.170571045977852,0.0500153739761578,0.144398631381972,0.139799194116326,-0.0340060229649688,-0.0959674100098653,0.205209961256811,0.118202563690385,-0.125228749217591,-0.0307018838554295,0.248929202490169,0.204162287531568,0.292119843341203,0.44077366853533,0.620372905899548,0.543811589313768,0.536669932020244,0.637177674967652,1,0.622325847448198,0.577040316643825,0.699674675132891,0.674874310007842,0.808462535495477,0.820017417946115,0.740240445725035,0.428374117122376,0.549900173246262
"issues",-0.365905476923465,-0.411815804171598,-0.276513900883984,-0.265341650433447,-0.336676755646905,-0.385709883365897,-0.578670595757748,-0.35278152883274,-0.41554483373429,-0.146853388099494,-0.302007967928169,-0.2662945999261,-0.251824793767671,-0.188197288965039,-0.165140297665404,-0.163503744497425,-0.244583279262554,-0.13932389939528,-0.198073999084162,-0.105885825768354,-0.0588227191912017,-0.0157896299408307,-0.049792690050577,-0.0843207823606538,-0.0792404826260256,-0.0893502968256312,-0.0304727239218691,0.00447034434408076,0.160952147153347,0.0659235381766365,0.209445606991917,0.0572661940434867,0.545250255409281,0.493165289815871,0.492937975594314,0.534337314613593,0.658844704056399,0.721648556805877,0.613073643831155,0.672383411566445,0.622325847448198,1,0.671365346257102,0.713679213163222,0.791731134271602,0.830815768288321,0.728103948047202,0.736725704891994,0.587109951498507,0.744262915297087
"human",-0.331721598013003,-0.286449652627037,-0.237343698969701,-0.283149422557906,-0.31293084697802,-0.231449466261013,-0.436861627189399,-0.344770288664582,-0.238478408608592,-0.0551419679893878,-0.301096535778399,-0.200909897825964,-0.184091371180788,-0.219276917883756,-0.165377327874397,-0.199830241458978,-0.283421517184819,-0.116240145213425,-0.123603265012456,-0.107947492449332,-0.0634204713442935,-0.0114654540535758,-0.103288006531259,-0.150402100017737,-0.147317659686004,-0.159076225677522,0.0382711728257204,-0.0187720783325156,0.128582876591449,-0.0203348963344521,-0.00237243900111969,-0.0554538441505942,0.219891590285605,0.295692808450731,0.368099338815436,0.566036827354328,0.663966941068465,0.484387402411886,0.580686193931142,0.390584446600209,0.577040316643825,0.671365346257102,1,0.683925709384417,0.691265310165798,0.600643638146632,0.647589225863016,0.538019235322741,0.322621106880968,0.474778956358213
"process",-0.415410543381206,-0.402883827807755,-0.337980356154572,-0.336554394842437,-0.363706036905093,-0.227161172177723,-0.49732136267871,-0.455458077148404,-0.242800185653272,-0.0735694297501948,-0.256240784525985,-0.138292085521594,-0.150835394163458,-0.20126570758498,-0.117250484711757,-0.173337252994922,-0.170140101896355,-0.108453095499442,-0.129018693696197,-0.0933256430514981,-0.0829158849661978,-0.0583793988857757,-0.0663799287713918,-0.16358835417181,-0.117103013890862,-0.0822027124331857,0.000726761963767573,0.0714910129700668,0.178733167292261,-0.0496167179648422,-0.138258616244273,0.00214769865243829,0.21852698818309,0.252976692123069,0.391952655539728,0.566762951286028,0.697289382965784,0.540547135996056,0.489460184716455,0.495721740814454,0.699674675132891,0.713679213163222,0.683925709384417,1,0.642768086859201,0.745840962479256,0.859727111738951,0.630587678742556,0.516586773792715,0.479809635444602
"ensure",-0.518546223231186,-0.582316060422772,-0.45122007889469,-0.484899303119719,-0.459371020237328,-0.557043862303226,-0.671302566619652,-0.411397629493807,-0.539393490326375,-0.30362442173518,-0.499091341950517,-0.456380875543633,-0.426780945393801,-0.358249688350571,-0.311301399518779,-0.401490975111394,-0.404844387292216,-0.352878522760196,-0.34120500046467,-0.305266488591367,-0.299963539775941,-0.295965809038634,-0.273467730349133,-0.298474614109785,-0.260586177240392,-0.259354624821852,-0.229676017323078,-0.280761556767256,-0.0684564201841186,-0.163266172984773,0.27899683939913,0.10119827986459,0.658208486541306,0.642143850819624,0.578876838074067,0.61144849873477,0.724985993933231,0.776815849377171,0.776638259603872,0.592577487202745,0.674874310007842,0.791731134271602,0.691265310165798,0.642768086859201,1,0.840499902124107,0.767427013323876,0.762620016193085,0.61967649813133,0.783871910298178
"stability",-0.495161569185408,-0.586674336010166,-0.484132574218147,-0.45369903917648,-0.448222620065972,-0.567586215010163,-0.70740066469611,-0.421203778623316,-0.438999841569462,-0.359255453902963,-0.500192340616792,-0.384802127078269,-0.381900847287601,-0.317394463323852,-0.25850784107817,-0.304032887228334,-0.31457883864476,-0.353563259594521,-0.281589958866702,-0.247897126243306,-0.283973565343412,-0.225249504779438,-0.169223410080897,-0.176811958964693,-0.149693987614246,-0.145810115482459,-0.268390030149504,-0.255501554379588,-0.0206851201846949,-0.0792660402733473,0.145843491695912,0.189538683629631,0.607831284878195,0.573836080463392,0.610325880519358,0.670670855788758,0.760594026121457,0.835132556229539,0.678744939969434,0.626883925616718,0.808462535495477,0.830815768288321,0.600643638146632,0.745840962479256,0.840499902124107,1,0.850280014351916,0.85317000910133,0.647599125710863,0.77205893470485
