"word"
"africa"
"arab"
"arms"
"challenges"
"change"
"charter"
"commitment"
"conference"
"conflict"
"cooperation"
"council"
"countries"
"delegation"
"determination"
"developing"
"development"
"disarmament"
"east"
"economic"
"ensure"
"financial"
"forces"
"foreign"
"global"
"human"
"including"
"independence"
"israel"
"issues"
"middle"
"military"
"negotiations"
"operation"
"peoples"
"policy"
"poverty"
"powers"
"process"
"question"
"regional"
"relations"
"security"
"session"
"situation"
"solution"
"south"
"special"
"stability"
"support"
"terrorism"
